button;text;latitude;longitude
Стрий;"Відділення медичної допомоги підліткам та молоді Стрийської міської дитячої лікарні
м. Стрий, 82400 вул.Косака,11а
тел: 0324554628
     067-493-64-70,
     050-533-01-64";49.27092;23.86658
Червоноград;"Відділення медичної допомоги підліткам та молоді КП Центр первинної медико-санітарної допомоги
м.Червоноград, вул. Івасюка,8.
Тел.03249-3-29-12.
kdm.chervonograd@gmail.com";50.39527;24.25145
Самбір;"Кабінет медичної допомоги дітям та молоді КЗ Самбірська районна лікарня
м.Самбір, вул. Коперника, 14 ,
тел. 236-3-23-54";49.52012;23.20138
Житомир;"Відділення медичної допомоги підліткам та молоді КУ Центральна дитяча міська лікарня ім. В.Й. Башека
м. Житомира вул. Святослава Ріхтера,23
тел.(0412) 55-17-59
ztcdml@gmail.com";50.25195;28.67528
Станишівка;"Відділення медичної допомоги підліткам та молоді КУ Центральна районна лікарня Житомирської районної ради
Житомирський район, с. Станишівка, шосе Сквирське, 3
тел. 34-14-82
тел. 34-14-64
e-mail: zt_crl@ukr.net";56.888081;60.61673
Коростень;"Відділення медичної допомоги підліткам та молоді Клініка, дружня до молоді Коростенської центральної міської лікарні
м.Коростень вул.Грушевського 7
тел(04142) 4-25-26
(04142) 4-25 16
klinikadoviry@gmail.com";50.94955;28.64536
Одеса;"Відділення медичної допомоги підліткам та молоді КНП Міська студентська поліклініка ОМР
м.Одеса,вул.Семінарська,7,
тел.:048-705-87-01
kdm.odessa@ukr.net";46.46224;30.74851
Одеса;"Кабінет медичної допомоги підліткам та молоді КУ Дитяча міська поліклініка № 5
м. Одеса, вул. Генерала Петрова, 80,
тел.: (048) 762-43-91
dgp5od@gmail.com";46.44195;30.69461
Одеса;"Наркологічний кабінет антиалкогольної пропаганди та профілактичної роботи серед підлітків КУ Одеський обласний наркологічний диспансер
м. Одеса. Вул. Бреуса 26/2
т. 048-772-08-37.,
048-748-92-49 (факс)";46.4492;30.71616
Одеса;"Кабінет медичної допомоги підліткам та молоді КУ Одеська обласна дитяча клінічна лікарня
м.Одеса,вул.Воробьйова,3,
тел.:048-705-53-22
oodkl@ukr.net";46.48373;30.6937
Полтава;"Відділення медичної допомоги підліткам та молоді Клініка, дружня до молоді ДМКЛ
м. Полтава, вул.Нікітченка,2
тел. (0532) 58-96-30";49.57446;34.50446
Полтава;"Відділення медичної допомоги підліткам та молоді Полтавської обласної дитячої клінічної лікарні
м. Полтава, 36011, вул.Шевченка, 34
тел. 05322-7-18-73,
053 2 500654";49.58355;34.55163
Лубни;"Кабінет медичнної допомоги підліткам та молоді комунальної Лубенської центральної міської лікарні
Полтавська обл.,м. Лубни,вул. Пятикопа, 26
тел. 0958610358";50.00186;32.99218
Рівне;"Відділення медичної допомоги підліткам та молоді “Клініка, дружня до молоді” КЗ Рівненської обласної дитячої лікарні.
м. Рівне , вул.Київська 60 ,
тел. 0362-28-86-23
1989.rodl@gmail.com";50.614909;26.291183
Київ;"Голосіївський район Адреса: м. Київ,  вул. Голосіївська, 53,
тел.: 257-26-32";50.39684;30.51194
Київ;"Дарницький район Адреса: м. Київ,  вул. Тростянецька, 8 д,
тел.: 262-46-03;
562-55-62";50.41457;30.65613
Київ;"Дніпровський район Адреса: вул. Шептицького, 3 г,
тел.: 517-61-21;
517-28-02";50.45586;30.58634
Київ;"Оболонський район Адреса: м. Київ,  вул. Богатирська, 32,
тел.: 412-03-26";50.54329;30.485195
Київ;"Печерський район. Адреса: м. Київ,  вул. Підвисоцького, 4 б,
тел.: 285-00-25";50.41249;30.54259
Київ;"Подільський район Адреса: м. Київ,  вул. Турівська, 26,
тел.: 425-79-03";50.47394;30.51214
Київ;"Шевченківський район Адреса: м. Київ, вул. Володимирська, 43,
тел.: 234-93-46";50.44841;30.51436
с. Боярка;"Центральна районна лікарня Києво-Святошинського району Київської області с. Боярка
(0459) 84-15-97
с. Боярка, вул. 40-років Жовтня, 51";50.33173;30.276104
с. Боярка;"КЗ Київської обласної ради «Київська обласна дитяча лікарня» с. Боярка
(0459) 84-68-26
с. Боярка, вул. Хрещатик, 83";50.31899;30.29564
Біла Церква;"Білоцерківський пологовий будинок (04463) 6-30-25 Біла Церква, вул. Семашка, 7";49.81216;30.07899
Біла Церква;"Білоцерківська міська дитяча поліклініка
(04563) 5-16-32
Біла Церква, вул. Шевченка, 6-а";49.77038;30.13496
Біла Церква;"КЗОЗ «Київська обласна дитяча лікарня №2»
(04463) 5-36-74
Біла Церква, вул. Ш. Алейхема, 46";49.79065;30.12665
Суми;"м. Суми, вул. І.Сірка, 3
Телефон: 661-898, 095-1-948-949
E-mail: kdm.sumy@gmail.com";50.90783;34.81846
Суми;"Відділення медичної допомоги підліткам та молоді «Клініка, дружня до молоді» КУ «Сумська міська дитяча клінічна лікарня Святої Зінаїди»
м. Суми,  вул. Д.Коротченка, 3";50.907896;34.818283
Шостка;"Центр медико – соціальної допомоги дітям і молоді «КДМ» КЛПЗ «Шосткінська дитяча лікарня»
Сумська обл., м. Шостка, вул. Марата, 23
тел. 05449 72640  тел.096 827 90 36";51.86282;33.48053
Охтирка;"Кабінет медико соціальної допомоги дітям і молоді Клініка, дружня до молоді КЗ Охтирська центральна района лікарня
м. Охтирка, вул. Велика Зарічна,32
тел: 4-78-44
E-mail: crltr@sm.ukrtel.net";45.453491;17.66312
Конотоп;"Відділення медико-соціальної допомоги підліткам та молоді Клініка дружня до молоді КЗ Конотопська ЦРЛ ім.ак.М.Давидова
м. Конотоп,    вул.М.Амосова, 5,
тел: 664-99
E-mail:konotopcrldavidova@";51.231386;33.198395
Тернопіль;"Тернопільська міська комунальна лікарня №2
(0352) 23-67-75
вул. Р. Купчинського, 14";49.55214;25.64502
Тернопіль;"Кабінет лікаря-методиста КУТОР «Центру здоров`я»
0352 52 12 03
Тернопіль, вул.Гоголя, 2";49.55106;25.59927
Тернопіль;"Кабінет терапевта підліткового міської дитячої комунальної лікарні
Тернопіль, вул.Федьковича,16";49.5496;25.60062
Тернопіль;"Кабінет психолога, юриста, соціального працівника в міському ЦСССДМ
0352 23-5592
Тернопіль, вул. Стадникової, 22";49.54226;25.59889
Тернопіль;"Кабінет лікарів акушер-гінеколога та андролога Перинатального центру «Мати і дитина»
Тернопіль, вул. Замкова, 10";49.55382;25.58939
Тернопіль;"Кабінет дерматовенеролога Обласного клінічного шкірно-венерологічного диспансеру
0352 523614
Тернопіль, вул. Кн. Острозького, 39";49.54701;25.59874
Тернопіль;"Кабінет лікаря –інфекціоніста Обласного комунального центру профілактики та боротьби зі СНІДом
0352 23-1865
Тернопіль, вул. Купчинського, 8";49.55481;25.64156
Шумськ;"Кабінет медичної допомоги підліткам та молоді «Клініка, дружня до молоді» Шумської ЦРЛ
м.Шумськ, вул.Енергетична, 1
тел/факс: 03558 2-16-09,
тел. 035-582-14-73,
e-mail:shumskcrl@ukr.net";50.11756;26.1208
Харків;"Кабінет медико-соціальної допомоги підліткам Клініка, дружня до молоді КНП Харківської обласної ради Обласна дитяча клінічна лікарня
м. Харків,61093
вул. Озерянська, 5,
тел.: (057)372-75-21
е-mail: hodkb@ukr.net";49.98783;36.1931
Харків;"Відділення медико-соціальної допомоги підліткам та молоді КЗОЗ Харківська міська дитяча поліклініка №2
м. Харків,
пр-т Постишева,2-б
тел/факс: 057-370-41-03,
e-mail: poliklinika_2@ukr.net";49.973742;36.194389
Харків;"Відділення медико-соціальної допомоги дітям та підліткам КЗОЗ Харківська міська дитяча поліклініка №14
м. Харків,
пр.Свободи, 48-В,
тел/факс 057-336-8535";50.05645;36.20398
Харків;"Центр психічного здоров`я студенської молоді КНП Міська студентська лікарня Харківської міської ради Центр психичного здоров`я студентської молоді
м.Харків, вул.Дарвіна, 10
тел.факс. 057-719-69-57,
e-mail: msl@studhosp.kharkiv.org";49.99778;36.24388
Хмельницький;"Віддлення медичної допомоги підліткам та молоді Хмельницької міської дитячої лікарні
м. Хмельницький,
вул. С. Разіна,1
тел: 0382 671013,
тел/факс: 0382 671011
e-mail: centrchildpol@ukr.net";49.41429;26.96524
Хмельницький;"Відділення медичної допомоги підліткам та молоді Хмельницької обласної дитячої лікарні
м. Хмельницький, вул.Кам`янецька, 94
Е-mail xodl94@gmail.com";49.41244;26.96792
Кам`янець-Подліьский;"Відділення медичної допомоги підліткам та молоді «Клініка, дружня до молоді» Кам`янець-Подольської міської лікарні № 1
Хмельницька обл
м. Кам`янець-Подільський, вул. Матросова, 17
тел: (03849) 3-84-04 (03849) 9-72-16";48.672689;26.606629
Старокостянтинів;"Кабінет медико-соціальної допомоги дітям та молоді Старокостянтинівської ЦРЛ
м. Старокостянтинів, вул.Пушкіна, 47
тел.  038 054 3-32-72
e-mail crl_st@ukr.net";49.75814;27.20552
Шепетівка;"Кабінет медичної допомоги дітям та молоді Шепетівської ЦРЛ
м. Шепетівка вул. В.Котика, 85
тел: 03842 51411,
тел/факс. 03842 5-52-13";50.18678;27.04714
Нетішин;"Кабінет медичної допомоги підліткам та молоді ДЗ «СМСЧ № 4 МОЗУ»м.Нетішин
м. Нетішин,  вул. Лісова, 1
тел.  (03848)  4-22-66,  4-11-33;
тел./факс (03848)  4-11-22;
e-mail: smsch4@nh.km.ua";50.33781;26.6598
Красилів;"Кабінет медичної допомоги підліткам та молоді Красилівської ЦРЛ
м.Красилів,вул.Центральна 32
тел.:(03855) 4-35 87,
e-mail:kr_crl@ukr.net";49.65958;26.97235
Волочиськ;"Кабінет медичної допомоги підліткам та молоді Волочиської ЦРЛ
м.Волочиськ в.Незалежності 68
(0382) 35930
crl_volochisk@ukr.net";49.5361;26.21462
Славута;"Кабінет медичної допомоги підліткам та молоді Славутської центральної районної лікарні
м. Славута, Соборності 32,
тел. 038-422-12-09, 038-427-20-10,
тел./факс. 038-427-20-10,
e-mail.kdm_slav@ukr.net";50.29151;26.86355
Черкаси;"Кабінет медичної допомоги дітям та молоді поліклінічного відділення № 3 Черкаської міської дитячої лікарні
м. Черкаси вул. О.Теліги,4
E-mail: chdml@ck.ukrtel.net";49.42352;32.02161
Умань;"Кабінет медико-соціальної допомоги Уманської міської дитячої лікарні
м.Умань, вул.Шевченка, 46
тел: (04744)- 370-08
e-mail: aibolit_uman@i.ua";48.75229;30.22761
Жашків;"Кабінет медико-соціальної допомоги Жашківської ЦРЛ
м. Жашків, вул. Лікарняна 19,
тел: 047-47-6-09-35";49.24133;30.11054
Слов`янськ;"Пологовий будинок
вул. Університетська, 15
(06262)-2-43-66";48.85498;37.61183
Дніпро;"Відділення медичної допомоги підліткам та молоді «Клініка, дружня до молоді» - КЗ «Дніпропетровська міська студентська полілініка»
вул. Гусенко 13
(056) 713-56-52";45.032051;11.77706
Дніпро;"Дніпропетровський пологовий будинок 1
вулиця Воскресенська, 2
Телефон: 056 745 1163";48.47061;35.044
Дніпро;"Відділення медико-соціальної допомоги КЗ «Дніпропетровський наркологічний диспансер»
вул. Мільмана, 87
Біла Наталья Едуардівна тел: (056) 373-84-81";48.40396;35.08722
Дніпро;"КЗ «Дитяча міська клінічна лікарня №3» ім.Руднева
пр. Пушкіна, 26
(0562) 33-83-37; ф.(0562) 33-55-08";48.46878;35.01465
Дніпро;"КЗ «Міська клінічна лікарня №18»
вул. Гусенко, 18
(056) 713-58-46";48.45071;35.05174
Дніпро;"КЗ «Міська поліклініка №6»
вул. Столярова, 12
(056) 744-85-61";48.47436;35.03296
Дніпро;"КЗ «Міська поліклініка №4»
вул. Панікахи, 19
(056) 765-39-71";48.40072;35.02951
Дніпро;"Дніпропетровська міська лікарня №15
Перемоги, 113
044 580-10-70  066 580-10-70";48.41424;35.00779
Дніпро;"КЗ «Шоста міська клінічна лікарня» 097 692 6332
вул. Батумська, 13
097 692 6332";48.5154;35.08465
Дніпро;"МКМЗ «Міська поліклініка №1»
вул. Юридична, 3
0562 271 059";48.50707;35.06703
Кривий Ріг;"КЗ «Міська лікарня №17»
вул. Каткова, 2
050-184-42-32; ф.(0564)22-31-00";48.50707;35.06703
Кривий Ріг;"КЗ «Міська лікарня №11»
Кривий Ріг, вул. Добролюбова, 6
0564 065 115";47.83517;33.34855
Кривий Ріг;"КЗ «Міська лікарня №9»
Кривий Ріг, вул. Женевська, 6-а
0564 662 325";47.98504;33.44074
Кривий Ріг;"КЗ «Міська лікарня №5»
м. Кривий Ріг вул. Поперечна, 1-а
097 676 8194";47.9604;33.4234
Кривий Ріг;"КЗ «Міська лікарня № 1»
Кривий Ріг, вул. Рязанова, 8-а
(0564) 74-17-03";47.906421;33.381793
Кривий Ріг;"КЗ «Криворізька дитяча лікарня №2» ДОР
Кривий Ріг, вул. Революційна, 71
(0564) 71-48-25";47.89812;33.417346
Кривий Ріг;"КЗ «Міська клінічна лікарня №2»
Кривий Ріг, вул. Мелешкіна, 21
(056) 465-47-11";47.94116;33.41174
Кривий Ріг;"КЗ «Міська лікарня №7»
Кривий Ріг, вул. Мармака, 1-а
(0564) 38-32-54";47.939925;33.41004
Павлоград;"Пологовий міський будинок
вул. Шевченка,102
(05632) 4-05-16
kz roddom@ukr.net
Факс: (05632) 4-05-16";48.53067;35.87418
Мукачево;"Обласна дитяча лікарня
вул.І.Франка, 39
(03131)5-45-42; ф.(03131)3-87-07";48.43593;22.72722
Мукачево;"Кабінет «Клініка, дружня до молоді» обласної дитячої лікарні
вул. І.Франка 39
(0331)5-45-42";48.43594;22.72723
Мукачево;"Мукачівська ЦРЛ
вул. Пирогова Миколи, 8/13
(3131) 5-50-28";48.44114;22.72848
Ужгород;"Кабінет медико-соціальної допомоги підліткам та молоді Ужгородського міського центру соціальних служб для сім""ї, дітей та молоді
вул. Ф.Ракоці 2
(0312)61-64-72, 44-13-17";48.62485;22.29461
Ужгород;"Міська дитяча клінічна лікарня
вул. Ф. Ракоці, 3
(312) 3-30-45";48.62578;22.29346
Ужгород;"Ужгородський міський перинатальний центр
вул. Грибоєдова, 20-6
(3142)4-24-79";48.6384;22.27934
Запоріжжя;"Відділення медико-соціальної допомоги підліткам Запорізької обласної дитячої клінічної лікарні
Запоріжжя, вул. Леніна, 70
(061) 764-23-07";47.81612;35.17762
Запоріжжя;"КУ «Дитяча поліклініка №3»
(0612) 65-57-64; ф.(0612) 65-02-63
Запоріжжя, вул. Брюлова 8А";47.81612;35.17762
Запоріжжя;"КУОЗ «Пологовий будинок №1»
(061) 764-38-11
Запоріжжя, вул. Артема, 27";47.81008;35.181085
Запоріжжя;"КУ «Міська поліклініка ім. 8 Марта» Жіноча консультація
(061) 293-40-01; ф.(061) 295-26-52
Запоріжжя, вул. Олімпійська, 26-б";47.77567;35.21065
Запоріжжя;"КУ «Міська лікарня №8»
(0612) 65-00-51
Запоріжжя, вул.Харчова, 2";47.82706;35.21812
Запоріжжя;"КЗ «Пологовий будинок № 4»
(061) 224-36-37; т\ф.(061) 224-36-75
Запоріжжя, вул. Дудикіна, 9";47.87511;35.05741
Запоріжжя;"КУ «Пологовий будинок № 9»
(0612) 41-53-31
Запоріжжя, вул. Новгородська, 28";47.82223;35.03188
Запоріжжя;"КУ «Пологовий будинок № 5»
(0612) 24-09-41
Запоріжжя, вул.Южноукраїнська, 17-а";47.82223;35.03188
Запоріжжя;"ЗОЗ «Пологовий будинок №3»
(0612) 67-70-50
Запоріжжя, вул. Бочарова, 11";47.8448;35.22238
Чернівці;"КМУ Міська дитяча поліклініка
(372) 4-13-19
Чернівці, пр. Незалежності , 109-а";48.2682;25.94293
Чернівці;"Обласний центр репродуктивного здоров’я молоді КМУ Чернівецька обласна дитяча клінічна лікарня №2
03722 3-3234
Чернівці, вул. .Незалежності, 98";48.45489;25.76444
Чернівці;"Кабінет медико-соціальної допомоги «КДМ» МКУ «Пологовий будинок №2»
03722 7-3930
Чернівці, вул. Рівненська, 8";48.26564;25.92089
Чернівці;"Кабінет медико-соціальної допомоги «КДМ» МКУ «Пологовий будинок №1»
0372 52-5593
Чернівці, вул. Головна, 70";48.28593;25.93675
Чернівці;"Відділення медико-соціальної допомоги дітям та молоді «КДМ» КМУ «Міська поліклініка №5»
03722 3-6178
Чернівці, вул. Стеценко, 5";48.27387;25.94109
Чернівці;"КДМ міської дитячої поліклініки
03722 4-4631
Чернівці, Проспект Незалежності, 109-а";48.2682;25.94293
Чернівці;"Чернівецька обласна дитяча клінічна лікарня
(372) 4-13-19
Чернівці, вул. Руська, 207-А";48.28264;25.97596
Чернівці;"Комунальна міська установа «Міська дитяча клінічна лікарня»
Чернівці, вул. Буковинська 4-А   0372 530 875";48.27975;25.94548
Чернівці;"Міський клінічний пологовий будинок №1
(0372) 52-44-83
Чернівці, вул. Головна, 129";48.28142;25.93988
Чернівці;"Міський клінічний пологовий будинок № 2
(0372) 24-39-22
Чернівці, вул. Рівненська, 8";48.26564;25.92089
Івано-Франківськ;"Відділення медико-соціальної допомоги підліткам та молоді МДКЛ м.Івано-Франківська
(0342) 50-43-85
Івано-Франківськ, вул.Тичини 4";49.03219;24.41829
Івано-Франківськ;"Міська дитяча клінічна лікарня м. Івано-Франківськ
(0342)50-43-85
вул. Чорновола, 14";48.91796;24.70674
Івано-Франківськ;"Івано-Франківська обласна дитяча клінічна лікарня
(034)222-56-56
Івано-Франківськ, вул. Коновальця, 132";48.90623;24.71283
Івано-Франківськ;"Івано-Франківський міський клінічний пологовий будинок
(032)222-48-52
Івано-Франківськ, вул. Чорновола, 49";48.91594;24.70474
Чернігів;"Дитяча поліклініка 1 Чернігівської міської ради
вулиця Пирогова, 15
0462 676 201";51.4983;31.28075
Чернігів;"КЛПЗ Чернігівська обласна дитяча лікарня
(046) 277-46-45
Чернігів, вул. Пирогова, 16";51.49791;31.28103
Чернігів;"Дитяча поліклініка №2 Чернігівської міської ради
(046) 223-42-84
Чернігів, вул.Рокосовського, 47";51.51276;31.31879
Чернігів;"Чернігівська центральна районна лікарня
(046) 295-46-37
Чернігів, вул. Шевченко,114";51.504248;31.342736
Чернігів;"Відділення медико-соціальної допомоги підліткам та молоді Чернігівської міської дитячої поліклініки№2 Чернігівської міської ради
(0462) 95-22-28, 95-91 81 тел/факс. (04622) 3-4284
Чернігів, вул. Рокосовського, 30";51.51457;31.31694
Чернігів;"Пологовий будинок Чернігівської міської ради
(0462) 95-22-27
Чернігів, 14034, вул. 1 Травня, 172";51.51954;31.31137
